origin,destination,year,month,market_passengers,avg_fare_usd
SYD,SIN,2022,1,24911,422.26
SYD,SIN,2022,2,23006,457.17
SYD,SIN,2022,3,27894,417.64
SYD,SIN,2022,4,48277,435.02
SYD,SIN,2022,5,49633,425.56
SYD,SIN,2022,6,56026,454.3
SYD,SIN,2022,7,65302,460.46
SYD,SIN,2022,8,63562,425.45
SYD,SIN,2022,9,68322,423.69
SYD,SIN,2022,10,67380,439.71
SYD,SIN,2022,11,62426,428.59
SYD,SIN,2022,12,71114,437.87
SYD,SIN,2023,1,71591,447.42
SYD,SIN,2023,2,61586,460.44
SYD,SIN,2023,3,66923,461.63
SYD,SIN,2023,4,64521,446.43
SYD,SIN,2023,5,65898,439.04
SYD,SIN,2023,6,66860,474.3
SYD,SIN,2023,7,71502,438.56
SYD,SIN,2023,8,68148,465.62
SYD,SIN,2023,9,68824,463.67
SYD,SIN,2023,10,70992,458.02
SYD,SIN,2023,11,69050,457.78
SYD,SIN,2023,12,79779,457.87
SYD,SIN,2024,1,77110,468.69
SYD,SIN,2024,2,66894,479.23
SYD,SIN,2024,3,69404,461.45
SYD,SIN,2024,4,68026,455.48
SYD,SIN,2024,5,64870,495.37
SYD,SIN,2024,6,66934,485.53
SYD,SIN,2024,7,70520,461.16
SYD,SIN,2024,8,63969,478.38
SYD,SIN,2024,9,68064,482.26
SYD,SIN,2024,10,68206,458.78
SYD,SIN,2024,11,75452,463.85
SYD,SIN,2024,12,80673,446.23
SYD,HND,2022,1,2568,525.8
SYD,HND,2022,2,1935,529.79
SYD,HND,2022,3,3177,518.82
SYD,HND,2022,4,4900,509.17
SYD,HND,2022,5,4914,501.9
SYD,HND,2022,6,6126,507.68
SYD,HND,2022,7,8700,525.59
SYD,HND,2022,8,7431,515.81
SYD,HND,2022,9,9854,524.76
SYD,HND,2022,10,14309,513.52
SYD,HND,2022,11,17121,513.91
SYD,HND,2022,12,19360,485.71
SYD,HND,2023,1,21440,509.83
SYD,HND,2023,2,19610,511.78
SYD,HND,2023,3,21403,558.61
SYD,HND,2023,4,20554,546.68
SYD,HND,2023,5,18306,526.65
SYD,HND,2023,6,18214,523.81
SYD,HND,2023,7,21570,494.33
SYD,HND,2023,8,21575,536.07
SYD,HND,2023,9,22649,500.3
SYD,HND,2023,10,25321,519.77
SYD,HND,2023,11,24760,531.48
SYD,HND,2023,12,29764,525.93
SYD,HND,2024,1,31900,550.87
SYD,HND,2024,2,30523,576.68
SYD,HND,2024,3,31616,554.75
SYD,HND,2024,4,30323,520.94
SYD,HND,2024,5,29160,526.68
SYD,HND,2024,6,25992,516.83
SYD,HND,2024,7,27519,542.08
SYD,HND,2024,8,28751,524.73
SYD,HND,2024,9,31084,565.28
SYD,HND,2024,10,34178,610.7
SYD,HND,2024,11,33350,525.3
SYD,HND,2024,12,33996,552.8
SYD,MEL,2022,1,389250,121.34
SYD,MEL,2022,2,373004,122.7
SYD,MEL,2022,3,384290,124.17
SYD,MEL,2022,4,378173,118.28
SYD,MEL,2022,5,360891,120.99
SYD,MEL,2022,6,379368,132.12
SYD,MEL,2022,7,400540,128.24
SYD,MEL,2022,8,374290,117.54
SYD,MEL,2022,9,361600,119.81
SYD,MEL,2022,10,404245,119.34
SYD,MEL,2022,11,389540,118.93
SYD,MEL,2022,12,429661,125.29
SYD,MEL,2023,1,399719,126.89
SYD,MEL,2023,2,374969,129.36
SYD,MEL,2023,3,369717,120.86
SYD,MEL,2023,4,367819,127.97
SYD,MEL,2023,5,400602,127.91
SYD,MEL,2023,6,381121,128.55
SYD,MEL,2023,7,417342,128.21
SYD,MEL,2023,8,377767,132.72
SYD,MEL,2023,9,379654,134.9
SYD,MEL,2023,10,384585,120.87
SYD,MEL,2023,11,366784,135.49
SYD,MEL,2023,12,442487,126.18
SYD,MEL,2024,1,399603,138.56
SYD,MEL,2024,2,372214,126.22
SYD,MEL,2024,3,384582,128.84
SYD,MEL,2024,4,384941,130.05
SYD,MEL,2024,5,388899,138.28
SYD,MEL,2024,6,386046,134.28
SYD,MEL,2024,7,379387,130.65
SYD,MEL,2024,8,375261,124.52
SYD,MEL,2024,9,367360,129.16
SYD,MEL,2024,10,395579,123.96
SYD,MEL,2024,11,385354,128.37
SYD,MEL,2024,12,419337,136.16
SYD,AKL,2022,1,2099,249.99
SYD,AKL,2022,2,2332,230.69
SYD,AKL,2022,3,12419,239.6
SYD,AKL,2022,4,22336,227.0
SYD,AKL,2022,5,26892,239.46
SYD,AKL,2022,6,29536,255.11
SYD,AKL,2022,7,38346,234.57
SYD,AKL,2022,8,36633,231.69
SYD,AKL,2022,9,40952,248.74
SYD,AKL,2022,10,46376,231.09
SYD,AKL,2022,11,53267,235.75
SYD,AKL,2022,12,58962,232.27
SYD,AKL,2023,1,63842,243.49
SYD,AKL,2023,2,51686,230.07
SYD,AKL,2023,3,58038,231.83
SYD,AKL,2023,4,55462,262.37
SYD,AKL,2023,5,43192,232.96
SYD,AKL,2023,6,43973,247.75
SYD,AKL,2023,7,51418,234.77
SYD,AKL,2023,8,47926,252.01
SYD,AKL,2023,9,52971,240.74
